OCC2010	OccGroup	Occupation
2010	COMMUNITY AND SOCIAL SERVICES	Social Workers
2020	COMMUNITY AND SOCIAL SERVICES	Community and Social Service Specialists, nec
2040	COMMUNITY AND SOCIAL SERVICES	Clergy
2050	COMMUNITY AND SOCIAL SERVICES	Directors, Religious Activities and Education
2060	COMMUNITY AND SOCIAL SERVICES	Religious Workers, nec
2100	LEGAL	Lawyers, and judges, magistrates, and other judicial workers
2140	LEGAL	Paralegals and Legal Assistants
2150	LEGAL	Legal Support Workers, nec
2200	EDUCATION, TRAINING, AND LIBRARY	Postsecondary Teachers
2300	EDUCATION, TRAINING, AND LIBRARY	Preschool and Kindergarten Teachers
2310	EDUCATION, TRAINING, AND LIBRARY	Elementary and Middle School Teachers
2320	EDUCATION, TRAINING, AND LIBRARY	Secondary School Teachers
2330	EDUCATION, TRAINING, AND LIBRARY	Special Education Teachers
2340	EDUCATION, TRAINING, AND LIBRARY	Other Teachers and Instructors
2400	EDUCATION, TRAINING, AND LIBRARY	Archivists, Curators, and Museum Technicians
2430	EDUCATION, TRAINING, AND LIBRARY	Librarians
2440	EDUCATION, TRAINING, AND LIBRARY	Library Technicians
2540	EDUCATION, TRAINING, AND LIBRARY	Teacher Assistants
2550	EDUCATION, TRAINING, AND LIBRARY	Education, Training, and Library Workers, nec
2600	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Artists and Related Workers
2630	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Designers
2700	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Actors, Producers, and Directors
2720	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Athletes, Coaches, Umpires, and Related Workers
2740	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Dancers and Choreographers
2750	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Musicians, Singers, and Related Workers
2760	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Entertainers and Performers, Sports and Related Workers, All Other
2800	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Announcers
2810	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Editors, News Analysts, Reporters, and Correspondents
2825	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Public Relations Specialists
2840	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Technical Writers
2850	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Writers and Authors
2860	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Media and Communication Workers, nec
