OCC2010	OccGroup	Occupation
8000	PRODUCTION	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic
8010	PRODUCTION	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic
8030	PRODUCTION	Machinists
8040	PRODUCTION	Metal Furnace Operators, Tenders, Pourers, and Casters
8060	PRODUCTION	Model Makers and Patternmakers, Metal and Plastic
8100	PRODUCTION	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic
8130	PRODUCTION	Tool and Die Makers
8140	PRODUCTION	Welding, Soldering, and Brazing Workers
8150	PRODUCTION	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic
8200	PRODUCTION	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic
8210	PRODUCTION	Tool Grinders, Filers, and Sharpeners
8220	PRODUCTION	Metal workers and plastic workers, nec
8230	PRODUCTION	Bookbinders, Printing Machine Operators, and Job Printers
8250	PRODUCTION	Prepress Technicians and Workers
8300	PRODUCTION	Laundry and Dry-Cleaning Workers
8310	PRODUCTION	Pressers, Textile, Garment, and Related Materials
8320	PRODUCTION	Sewing Machine Operators
8330	PRODUCTION	Shoe and Leather Workers and Repairers
8340	PRODUCTION	Shoe Machine Operators and Tenders
8350	PRODUCTION	Tailors, Dressmakers, and Sewers
8400	PRODUCTION	Textile bleaching and dyeing, and cutting machine setters, operators, and tenders
8410	PRODUCTION	Textile Knitting and Weaving Machine Setters, Operators, and Tenders
8420	PRODUCTION	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders
8450	PRODUCTION	Upholsterers
8460	PRODUCTION	Textile, Apparel, and Furnishings workers, nec
8500	PRODUCTION	Cabinetmakers and Bench Carpenters
8510	PRODUCTION	Furniture Finishers
8530	PRODUCTION	Sawing Machine Setters, Operators, and Tenders, Wood
8540	PRODUCTION	Woodworking Machine Setters, Operators, and Tenders, Except Sawing
8550	PRODUCTION	Woodworkers including model makers and patternmakers, nec
8600	PRODUCTION	Power Plant Operators, Distributors, and Dispatchers
8610	PRODUCTION	Stationary Engineers and Boiler Operators
8620	PRODUCTION	Water Wastewater Treatment Plant and System Operators
8630	PRODUCTION	Plant and System Operators, nec
8640	PRODUCTION	Chemical Processing Machine Setters, Operators, and Tenders
8650	PRODUCTION	Crushing, Grinding, Polishing, Mixing, and Blending Workers
8710	PRODUCTION	Cutting Workers
8720	PRODUCTION	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders
8730	PRODUCTION	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders
8740	PRODUCTION	Inspectors, Testers, Sorters, Samplers, and Weighers
8750	PRODUCTION	Jewelers and Precious Stone and Metal Workers
8760	PRODUCTION	Medical, Dental, and Ophthalmic Laboratory Technicians
8800	PRODUCTION	Packaging and Filling Machine Operators and Tenders
8810	PRODUCTION	Painting Workers and Dyers
8830	PRODUCTION	Photographic Process Workers and Processing Machine Operators
8850	PRODUCTION	Adhesive Bonding Machine Operators and Tenders
8860	PRODUCTION	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders
8910	PRODUCTION	Etchers, Engravers, and Lithographers
8920	PRODUCTION	Molders, Shapers, and Casters, Except Metal and Plastic
8930	PRODUCTION	Paper Goods Machine Setters, Operators, and Tenders
8940	PRODUCTION	Tire Builders
8950	PRODUCTION	Helpers--Production Workers
8965	PRODUCTION	Other production workers including semiconductor processors and cooling and freezing equipment operators
9000	TRANSPORTATION AND MATERIAL MOVING	Supervisors of Transportation and Material Moving Workers
9030	TRANSPORTATION AND MATERIAL MOVING	Aircraft Pilots and Flight Engineers
9040	TRANSPORTATION AND MATERIAL MOVING	Air Traffic Controllers and Airfield Operations Specialists
9050	TRANSPORTATION AND MATERIAL MOVING	Flight Attendants and Transportation Workers and Attendants
9100	TRANSPORTATION AND MATERIAL MOVING	Bus and Ambulance Drivers and Attendants
9130	TRANSPORTATION AND MATERIAL MOVING	Driver/Sales Workers and Truck Drivers
9140	TRANSPORTATION AND MATERIAL MOVING	Taxi Drivers and Chauffeurs
9150	TRANSPORTATION AND MATERIAL MOVING	Motor Vehicle Operators, All Other
9200	TRANSPORTATION AND MATERIAL MOVING	Locomotive Engineers and Operators
9230	TRANSPORTATION AND MATERIAL MOVING	Railroad Brake, Signal, and Switch Operators
9240	TRANSPORTATION AND MATERIAL MOVING	Railroad Conductors and Yardmasters
9260	TRANSPORTATION AND MATERIAL MOVING	Subway, Streetcar, and Other Rail Transportation Workers
9300	TRANSPORTATION AND MATERIAL MOVING	Sailors and marine oilers, and ship engineers
9310	TRANSPORTATION AND MATERIAL MOVING	Ship and Boat Captains and Operators
9350	TRANSPORTATION AND MATERIAL MOVING	Parking Lot Attendants
9360	TRANSPORTATION AND MATERIAL MOVING	Automotive and Watercraft Service Attendants
9410	TRANSPORTATION AND MATERIAL MOVING	Transportation Inspectors
9420	TRANSPORTATION AND MATERIAL MOVING	Transportation workers, nec
9510	TRANSPORTATION AND MATERIAL MOVING	Crane and Tower Operators
9520	TRANSPORTATION AND MATERIAL MOVING	Dredge, Excavating, and Loading Machine Operators
9560	TRANSPORTATION AND MATERIAL MOVING	Conveyor operators and tenders, and hoist and winch operators
9600	TRANSPORTATION AND MATERIAL MOVING	Industrial Truck and Tractor Operators
9610	TRANSPORTATION AND MATERIAL MOVING	Cleaners of Vehicles and Equipment
9620	TRANSPORTATION AND MATERIAL MOVING	Laborers and Freight, Stock, and Material Movers, Hand
9630	TRANSPORTATION AND MATERIAL MOVING	Machine Feeders and Offbearers
9640	TRANSPORTATION AND MATERIAL MOVING	Packers and Packagers, Hand
9650	TRANSPORTATION AND MATERIAL MOVING	Pumping Station Operators
9720	TRANSPORTATION AND MATERIAL MOVING	Refuse and Recyclable Material Collectors
9750	TRANSPORTATION AND MATERIAL MOVING	Material moving workers, nec
9800	MILITARY SPECIFIC	Military Officer Special and Tactical Operations Leaders
9810	MILITARY SPECIFIC	First-Line Enlisted Military Supervisors
9820	MILITARY SPECIFIC	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
9830	MILITARY SPECIFIC	Military, Rank Not Specified
9920	UNEMPLOYED OR NEVER WORKED	Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked
9999	UNEMPLOYED OR NEVER WORKED	Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked
