IND1990	IndGroup	IndustryTitle
471	TRANSPORTATION, COMMUNICATIONS, AND OTHER PUBLIC UTILITIES	Sanitary services
472	TRANSPORTATION, COMMUNICATIONS, AND OTHER PUBLIC UTILITIES	Utilities, n.s.
500	WHOLESALE TRADE	Motor vehicles and equipment
501	WHOLESALE TRADE	Furniture and home furnishings
502	WHOLESALE TRADE	Lumber and construction materials
510	WHOLESALE TRADE	Professional and commercial equipment and supplies
511	WHOLESALE TRADE	Metals and minerals, except petroleum
512	WHOLESALE TRADE	Electrical goods
521	WHOLESALE TRADE	Hardware, plumbing and heating supplies
530	WHOLESALE TRADE	Machinery, equipment, and supplies
531	WHOLESALE TRADE	Scrap and waste materials
532	WHOLESALE TRADE	Miscellaneous wholesale, durable goods
540	WHOLESALE TRADE	Paper and paper products
541	WHOLESALE TRADE	Drugs, chemicals, and allied products
542	WHOLESALE TRADE	Apparel, fabrics, and notions
550	WHOLESALE TRADE	Groceries and related products
551	WHOLESALE TRADE	Farm-product raw materials
552	WHOLESALE TRADE	Petroleum products
560	WHOLESALE TRADE	Alcoholic beverages
561	WHOLESALE TRADE	Farm supplies
562	WHOLESALE TRADE	Miscellaneous wholesale, nondurable goods
571	WHOLESALE TRADE	Wholesale trade, n.s.
580	RETAIL TRADE	Lumber and building material retailing
581	RETAIL TRADE	Hardware stores
582	RETAIL TRADE	Retail nurseries and garden stores
590	RETAIL TRADE	Mobile home dealers
591	RETAIL TRADE	Department stores
592	RETAIL TRADE	Variety stores
600	RETAIL TRADE	Miscellaneous general merchandise stores
601	RETAIL TRADE	Grocery stores
602	RETAIL TRADE	Dairy products stores
610	RETAIL TRADE	Retail bakeries
611	RETAIL TRADE	Food stores, n.e.c.
612	RETAIL TRADE	Motor vehicle dealers
620	RETAIL TRADE	Auto and home supply stores
621	RETAIL TRADE	Gasoline service stations
622	RETAIL TRADE	Miscellaneous vehicle dealers
623	RETAIL TRADE	Apparel and accessory stores, except shoe
630	RETAIL TRADE	Shoe stores
631	RETAIL TRADE	Furniture and home furnishings stores
632	RETAIL TRADE	Household appliance stores
633	RETAIL TRADE	Radio, TV, and computer stores
640	RETAIL TRADE	Music stores
641	RETAIL TRADE	Eating and drinking places
642	RETAIL TRADE	Drug stores
650	RETAIL TRADE	Liquor stores
651	RETAIL TRADE	Sporting goods, bicycles, and hobby stores
652	RETAIL TRADE	Book and stationery stores
660	RETAIL TRADE	Jewelry stores
661	RETAIL TRADE	Gift, novelty, and souvenir shops
662	RETAIL TRADE	Sewing, needlework, and piece goods stores
663	RETAIL TRADE	Catalog and mail order houses
670	RETAIL TRADE	Vending machine operators
671	RETAIL TRADE	Direct selling establishments
672	RETAIL TRADE	Fuel dealers
681	RETAIL TRADE	Retail florists
